title,paragraph,url,query
Sarvam AI launches startup program: Here's all about it and what it offers,AI is the era for builders. We want to compound that momentum by powering the startup ecosystem with high-quality models and tools so they can create with full agency.,https://www.cnbctv18.com/business/startup/sarvam-ai-launches-startup-programme-heres-all-about-it-and-what-it-offers-ws-l-19863357.htm,generative AI news
Sarvam AI launches startup program: Here's all about it and what it offers,"Indian generative AI company Sarvam AI has announced a new programme to help startups build artificial intelligence products in India. The initiative, the Sarvam Startup Programme, is intended for early-stage companies looking to develop applications using the firm’s models and technical infrastructure.The company shared details of the program in a series of posts on X on Thursday. The idea, it said, is simple - give developers access to tools and computing support so they can focus on building products rather than setting up complex AI systems from scratch.“Today, we're launching the Sarvam Startup Programme. AI is the era for builders. We want to compound that momentum by powering the startup ecosystem with high-quality models and tools so they can create with full agency,” the company wrote.Startups selected for the programme will receive API credits for six to twelve months, depending on how much infrastructure they require. These credits are designed to cover usage costs while companies experiment with and deploy AI features.Participants will also be able to use Sarvam’s broader set of AI tools. These include:Speech-to-Text,Text-to-Speech,Translation,Chat Completionand Document Intelligence APIs.The company says its platform currently supports more than 22 Indian languages along with English. That multilingual support has been a central focus for Sarvam AI, especially as many global AI systems still struggle with regional language accuracy.Another component of the program involves direct engineering access. Startups will be able to work with Sarvam’s technical team if they run into integration or scaling issues. The company also said selected projects could receive co-branded case studies and launch amplification once products go live.Sarvam AI was founded by engineers Vivek Raghavan and Pratyush Kumar. The company has positioned itself as part of India’s broader effort to develop homegrown generative AI infrastructure rather than relying entirely on overseas models.The firm gained wider attention recently at the India AI Impact Summit 2026 in New Delhi, where it showcased several of its AI systems and language capabilities.Much of the company’s work so far has focused on foundational models and APIs built for multilingual environments. This includes tools designed to work across India’s diverse language landscape, where translation, speech recognition and text generation can vary widely in accuracy.For now, the Sarvam Startup Programme is open to applications. The company has not said how many startups it plans to accept in the first round. Applications for the program are already open through the company’s website.",https://www.cnbctv18.com/business/startup/sarvam-ai-launches-startup-programme-heres-all-about-it-and-what-it-offers-ws-l-19863357.htm,generative AI news
Tata Elxsi launches DevStudio.ai to speed up automotive software engineering,"Tata Elxsi Limited has launched DevStudio.ai, a generative AI platform designed to accelerate automotive software engineering for original equipment manufacturers (OEMs), system suppliers and semiconductor companies.In an exchange filing on Thursday, March 5, the company said the new platform is a multi-agent generative AI solution aligned with Automotive SPICE (ASPICE) standards, aimed at speeding up the automotive software development lifecycle while maintaining industry quality and compliance requirements.DevStudio.ai is designed to act as an AI co-engineer across different stages of software development, including requirements, architecture, implementation, testing and qualification.The platform integrates with commonly used OEM and tier-1 engineering toolchains and supports deployment on both cloud-based infrastructure and secure on-premise environments.Sundar Ganapathi, Chief Technology Officer – Automotive at Tata Elxsi, said the automotive industry is facing growing ""competitive"" pressure to accelerate software development ""at China speed"" while maintaining safety and regulatory standards.He added, ""DevStudio.ai helps address this challenge. It brings the power of generative AI into the automotive software development lifecycle. This enables OEMs and suppliers accelerate development, while maintaining the rigour required for safety-critical automotive systems.""Tata Elxsi said the platform has already been deployed in select programmes with global OEMs and tier-1 suppliers across North America, Japan and India. Early implementations have shown improvements in development speed and productivity across domains such as body, chassis, infotainment and software-defined vehicle (SDV) architectures.Pallavi Dalal, Head of Automotive GenAI and AI Practice at Tata Elxsi, said the platform reflects the company’s efforts to combine automotive domain expertise with generative AI capabilities to support next-generation vehicle software development.Tata Elxsi provides design and technology services to industries, including automotive, communications, healthcare and media, and works with global OEMs and suppliers on engineering services spanning product design, software development and digital transformation.",https://www.cnbctv18.com/market/tata-elxsi-share-price-launches-devstudio-ai-to-accelerate-automotive-software-engineering-ws-l-19862869.htm,generative AI news
Tata Elxsi launches DevStudio.ai to speed up automotive software engineering,"For the December quarter, the company's revenue increased 3.8% sequentially to ₹953.5 crore from ₹918.1 crore in Q2. Its net profit declined 29.6% quarter-on-quarter to ₹109 crore from ₹154.8 crore. However, EBIT rose 17.7% to ₹199.9 crore.",https://www.cnbctv18.com/market/tata-elxsi-share-price-launches-devstudio-ai-to-accelerate-automotive-software-engineering-ws-l-19862869.htm,generative AI news
Tata Elxsi launches DevStudio.ai to speed up automotive software engineering,"Shares of Tata Elxsi ended nearly 1% higher at ₹4,400 ahead of the announcement on Thursday, March 5. The stock has fallen 18.61% over the past month.",https://www.cnbctv18.com/market/tata-elxsi-share-price-launches-devstudio-ai-to-accelerate-automotive-software-engineering-ws-l-19862869.htm,generative AI news
Tata Elxsi launches multi-agent gen-AI platform,"Tata Elxsi said it has launched DevStudio.ai, a multi-agent generative AI platform designed to accelerate the automotive software development lifecycle (SDLC) for original equipment manufacturers (OEMs), system suppliers, and semiconductor companies.",https://www.business-standard.com/markets/capital-market-news/tata-elxsi-launches-multi-agent-gen-ai-platform-126030600388_1.html,generative AI news
Tata Elxsi launches multi-agent gen-AI platform,"The platform integrates multiple AI agents to automate and streamline key stages of automotive software engineering, enabling faster design, coding, testing, and validation of software systems.",https://www.business-standard.com/markets/capital-market-news/tata-elxsi-launches-multi-agent-gen-ai-platform-126030600388_1.html,generative AI news
Tata Elxsi launches multi-agent gen-AI platform,"DevStudio.ai is aligned with ASPICE (Automotive Software Process Improvement and Capability Determination) standards and supports major stages of the ASPICE V-cycle, including system and software requirements, architecture, implementation, testing, and qualification, while maintaining end-to-end traceability across the development lifecycle.",https://www.business-standard.com/markets/capital-market-news/tata-elxsi-launches-multi-agent-gen-ai-platform-126030600388_1.html,generative AI news
Tata Elxsi launches multi-agent gen-AI platform,"The solution enables collaboration between automotive engineers and AI across engineering workflows and can operate on both cloud infrastructure and air-gapped on-premise environments, offering flexibility aligned with enterprise infrastructure and AI policies.",https://www.business-standard.com/markets/capital-market-news/tata-elxsi-launches-multi-agent-gen-ai-platform-126030600388_1.html,generative AI news
Tata Elxsi launches multi-agent gen-AI platform,"According to the company, the platform is currently being deployed in select programs with global OEMs and Tier-1 suppliers across North America, Japan, and India, spanning body, chassis, infotainment, and software-defined vehicle (SDV) architectures. Early deployments have demonstrated improvements in productivity and speed-to-market.",https://www.business-standard.com/markets/capital-market-news/tata-elxsi-launches-multi-agent-gen-ai-platform-126030600388_1.html,generative AI news
