keyword,score
ai,75.6532769903857
content,31.408289399792043
said,19.78452011445942
media,18.605547690669013
generative,18.59447623518282
generated,17.825297189625346
data,15.262870317667867
india,14.887991298363717
misinformation,14.66254057091973
trust,13.722973551953153
information,13.53512630672468
social,13.511027643720837
technology,13.468208325933023
tools,12.09046413551541
news,11.868315955936652
policy,11.751563843594168
like,11.615309041655594
use,11.597923042672585
platforms,11.540038526986086
digital,11.300789844757107
systems,11.248125428087567
human,11.14432835278208
fake,11.137778208294462
new,11.069789657118054
models,10.634246252913291
governance,10.350362104345393
intelligence,10.346538155611059
transparency,10.277826456408631
users,10.144981574839631
real,9.780665902207602
